lhd,LGA,year,calc_rate,calc_LCI,calc_UCI,calc_inv
Northern Sydney LHD,Lane Cove,2016,0.393,0.374,0.412,2448
Northern Sydney LHD,Manly,2016,0.422,0.405,0.439,3240
Northern Sydney LHD,Mosman,2016,0.37,0.351,0.388,2487
Northern Sydney LHD,North Sydney,2016,0.372,0.358,0.385,4933
Northern Sydney LHD,Northern Sydney LHD,2016,0.395,0.391,0.398,69393
Northern Sydney LHD,Pittwater,2016,0.415,0.402,0.428,5747
Northern Sydney LHD,Ryde,2016,0.386,0.375,0.396,8377
Northern Sydney LHD,Warringah,2016,0.407,0.398,0.416,11566
Northern Sydney LHD,Willoughby,2016,0.381,0.368,0.394,5558
South Eastern Sydney LHD,Botany Bay,2016,0.324,0.307,0.34,3072
South Eastern Sydney LHD,Hurstville,2016,0.367,0.355,0.379,6625
South Eastern Sydney LHD,Kogarah,2016,0.369,0.355,0.383,4609
South Eastern Sydney LHD,Randwick,2016,0.336,0.326,0.345,9295
South Eastern Sydney LHD,Rockdale,2016,0.329,0.318,0.339,7805
South Eastern Sydney LHD,South Eastern Sydney LHD,2016,0.35,0.347,0.354,62601
South Eastern Sydney LHD,Sutherland Shire,2016,0.386,0.379,0.393,18216
South Eastern Sydney LHD,Sydney,2016,0.321,0.307,0.335,4247
South Eastern Sydney LHD,Unincorporated NSW,2016,0.359,0.258,0.461,86
South Eastern Sydney LHD,Waverley,2016,0.32,0.306,0.334,4201
South Eastern Sydney LHD,Woollahra,2016,0.305,0.292,0.319,4445
South Western Sydney LHD,Bankstown,2016,0.33,0.323,0.338,14066
South Western Sydney LHD,Camden,2016,0.35,0.336,0.364,4307
South Western Sydney LHD,Campbelltown,2016,0.314,0.306,0.323,11674
South Western Sydney LHD,Fairfield,2016,0.369,0.362,0.376,16218
South Western Sydney LHD,Liverpool,2016,0.315,0.307,0.323,13054
South Western Sydney LHD,South Western Sydney LHD,2016,0.343,0.339,0.346,67158
South Western Sydney LHD,Wingecarribee,2016,0.404,0.389,0.419,4362
South Western Sydney LHD,Wollondilly,2016,0.385,0.369,0.401,3477
Southern NSW LHD,Bega Valley,2016,0.466,0.449,0.482,3573
Southern NSW LHD,Bombala,2016,0.459,0.389,0.529,194
Southern NSW LHD,Cooma-Monaro,2016,0.407,0.375,0.439,914
Southern NSW LHD,Eurobodalla,2016,0.445,0.43,0.46,4205
Southern NSW LHD,Goulburn Mulwaree,2016,0.405,0.385,0.424,2405
Southern NSW LHD,Palerang,2016,0.426,0.399,0.453,1260
Southern NSW LHD,Queanbeyan,2016,0.362,0.344,0.379,2831
Southern NSW LHD,Snowy River,2016,0.44,0.396,0.484,486
Southern NSW LHD,Southern NSW LHD,2016,0.423,0.415,0.43,17700
Southern NSW LHD,Upper Lachlan Shire,2016,0.425,0.389,0.462,708
Southern NSW LHD,Yass Valley,2016,0.386,0.358,0.415,1124
Sydney LHD,Ashfield,2016,0.351,0.334,0.368,3099
Sydney LHD,Burwood,2016,0.325,0.307,0.344,2506
Sydney LHD,Canada Bay,2016,0.363,0.351,0.375,6180
Sydney LHD,Canterbury,2016,0.32,0.311,0.328,10866
Sydney LHD,Leichhardt,2016,0.37,0.356,0.384,4462
Sydney LHD,Marrickville,2016,0.345,0.332,0.357,5480
Sydney LHD,Strathfield,2016,0.322,0.303,0.34,2512
Sydney LHD,Sydney,2016,0.321,0.309,0.333,5699
Sydney LHD,Sydney LHD,2016,0.338,0.334,0.343,40804
Western NSW LHD,Bathurst Regional,2016,0.411,0.393,0.429,3015
Western NSW LHD,Blayney,2016,0.398,0.358,0.437,581
Western NSW LHD,Bogan,2016,0.344,0.28,0.408,212
Western NSW LHD,Bourke,2016,0.188,0.132,0.243,192
Western NSW LHD,Brewarrina,2016,0.196,0.123,0.27,112
Western NSW LHD,Cabonne,2016,0.434,0.402,0.466,908
Western NSW LHD,Cobar,2016,0.331,0.279,0.384,308
Western NSW LHD,Coonamble,2016,0.35,0.296,0.403,309
Western NSW LHD,Cowra,2016,0.409,0.378,0.439,1013
Western NSW LHD,Dubbo,2016,0.371,0.353,0.389,2820
Western NSW LHD,Forbes,2016,0.404,0.369,0.44,742
Western NSW LHD,Gilgandra,2016,0.36,0.31,0.41,353
Western NSW LHD,Lachlan,2016,0.31,0.261,0.359,346
Western NSW LHD,Mid-Western Regional,2016,0.417,0.394,0.439,1857
Western NSW LHD,Narromine,2016,0.371,0.328,0.413,502
Western NSW LHD,Oberon,2016,0.393,0.349,0.437,476
Western NSW LHD,Orange,2016,0.401,0.383,0.418,2998
Western NSW LHD,Parkes,2016,0.407,0.378,0.437,1071
Western NSW LHD,Walgett,2016,0.249,0.215,0.283,623
Western NSW LHD,Warren,2016,0.367,0.308,0.426,256
Western NSW LHD,Warrumbungle Shire,2016,0.39,0.357,0.423,828
Western NSW LHD,Weddin,2016,0.419,0.365,0.472,327
Western NSW LHD,Wellington,2016,0.33,0.292,0.368,591
Western NSW LHD,Western NSW LHD,2016,0.386,0.379,0.393,20440
Western Sydney LHD,Auburn,2016,0.329,0.316,0.343,4651
Western Sydney LHD,Blacktown,2016,0.315,0.309,0.321,21918
Western Sydney LHD,Holroyd,2016,0.343,0.332,0.354,7034
Western Sydney LHD,Parramatta,2016,0.331,0.323,0.34,12134
Western Sydney LHD,The Hills Shire,2016,0.393,0.385,0.4,15395
Western Sydney LHD,Western Sydney LHD,2016,0.342,0.338,0.346,61132
Central Coast LHD,Central Coast LHD,2017,0.366,0.361,0.372,33023
Central Coast LHD,Gosford,2017,0.374,0.367,0.381,17386
Central Coast LHD,Wyong,2017,0.358,0.35,0.365,15637
Far West LHD,Balranald,2017,0.404,0.337,0.471,208
Far West LHD,Broken Hill,2017,0.351,0.33,0.373,1827
Far West LHD,Central Darling,2017,0.222,0.152,0.292,135
Far West LHD,Far West LHD,2017,0.36,0.343,0.377,2956
Far West LHD,Unincorporated NSW,2017,0.324,0.252,0.396,163
Far West LHD,Wentworth,2017,0.409,0.371,0.448,623
Hunter New England LHD,Armidale Dumaresq,2017,0.408,0.387,0.428,2206
Hunter New England LHD,Cessnock,2017,0.361,0.348,0.375,4971
Hunter New England LHD,Dungog,2017,0.415,0.384,0.446,980
Hunter New England LHD,Glen Innes Severn,2017,0.359,0.328,0.39,900
Hunter New England LHD,Gloucester,2017,0.464,0.424,0.503,608
Hunter New England LHD,Great Lakes,2017,0.447,0.433,0.462,4472
Hunter New England LHD,Greater Taree,2017,0.428,0.416,0.441,5705
Hunter New England LHD,Gunnedah,2017,0.353,0.326,0.381,1126
Hunter New England LHD,Guyra,2017,0.388,0.341,0.434,423
Hunter New England LHD,Gwydir,2017,0.375,0.332,0.418,496
Hunter New England LHD,Hunter New England LHD,2017,0.396,0.393,0.399,86826
Hunter New England LHD,Inverell,2017,0.39,0.366,0.414,1615
Hunter New England LHD,Lake Macquarie,2017,0.412,0.405,0.419,20769
Hunter New England LHD,Liverpool Plains,2017,0.405,0.37,0.441,745
Hunter New England LHD,Maitland,2017,0.385,0.373,0.397,6457
Hunter New England LHD,Moree Plains,2017,0.291,0.265,0.317,1206
